"","Event","bw"
"781","1990T04010",56
"782","1990T04010",57
"783","1990T04010",57
"784","1990T04010",57
"785","1990T04010",57
"786","1990T04010",58
"787","1990T04010",58
"788","1990T04010",58
"789","1990T04010",58
"790","1990T04010",58
"791","1990T04010",58
"792","1990T04010",58
"793","1990T04010",58
"794","1990T04010",58
"795","1990T04010",59
"796","1990T04010",59
"797","1990T04010",59
"798","1990T04010",59
"799","1990T04010",59
"800","1990T04010",59
"801","1990T04010",60
"802","1990T04010",60
"803","1990T04010",60
"804","1990T04010",60
"805","1990T04010",60
"806","1990T04010",60
"807","1990T04010",60
"808","1990T04010",61
"809","1990T04010",61
"810","1990T04010",61
"811","1990T04010",62
"812","1990T04010",62
"813","1990T04010",62
"814","1990T04010",62
"815","1990T04010",62
"816","1990T04010",62
"817","1990T04010",62
"818","1990T04010",62
"819","1990T04010",62
"820","1990T04010",63
"821","1990T04010",63
"822","1990T04010",63
"823","1990T04010",63
"824","1990T04010",64
"825","1990T04010",64
